Watershed,River Mile,Site ID,Site Name,Sample Date,Entero. Count,Day of Rain (in.),Prior Day,2 Days Prior,3 Days Prior,Weather Station,Lab,Sample Type,Sample Order,Fluorescence,Comments ,Dilution ,QA Qualifier,,,,,
Bronx,0.11,BR-0.11,BR-SWS-01 / Soundview Park- Mouth of river,9/7/17 11:00,20,0,0.44,0,0,KNYTHEBR5,BxRA,Tidal,Main Stem,,,,,,,,,
Bronx,0.11,BR-0.11,BR-SWS-01 / Soundview Park- Mouth of river,5/24/18 9:45,31,0,0,0,0,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.11,BR-0.11,BR-SWS-01 / Soundview Park- Mouth of river,7/13/17 0:00,74,0,0,0,0,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.11,BR-0.11,BR-SWS-01 / Soundview Park- Mouth of river,6/15/17 11:45,119,0,0.29,0,0,KNYC,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.11,BR-0.11,BR-SWS-01 / Soundview Park- Mouth of river,6/7/18 9:16,132,0,0,0,0.94,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.11,BR-0.11,BR-SWS-01 / Soundview Park- Mouth of river,6/21/18 9:16,>24196,0,0,0,0.94,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.11,BR-0.11,BR-SWS-01 / Soundview Park- Mouth of river,7/19/18 9:55,8164,0,0,2.52,0,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.11,BR-0.11,BR-SWS-01 / Soundview Park- Mouth of river,8/2/18 9:46,>24196,0.01,0.13,0,0,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.11,BR-0.11,BR-SWS-01 / Soundview Park- Mouth of river,8/30/18 11:00,41,0,0,0,0,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.11,BR-0.11,BR-SWS-01 / Soundview Park- Mouth of river,9/13/18 9:40,717,0.12,0.18,0.22,1.79,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.11,BR-0.11,BR-SWS-01 / Soundview Park- Mouth of river,10/11/18 9:38,132,0,0,0,0,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.44,BR-0.44,BR-BxR-009 / Soundview Park- HP-009 CSO outfall,5/24/18 9:55,10,0,0,0,0,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.44,BR-0.44,BR-BxR-009 / Soundview Park- HP-009 CSO outfall,8/30/18 11:00,10,0,0,0,0,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.44,BR-0.44,BR-BxR-009 / Soundview Park- HP-009 CSO outfall,9/7/17 11:12,52,0,0.44,0,0,KNYTHEBR5,BxRA,Tidal,Main Stem,,,,,,,,,
Bronx,0.44,BR-0.44,BR-BxR-009 / Soundview Park- HP-009 CSO outfall,6/7/18 9:26,84,0,0,0,0.94,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.44,BR-0.44,BR-BxR-009 / Soundview Park- HP-009 CSO outfall,6/21/18 9:26,84,0,0,0,0.94,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.44,BR-0.44,BR-BxR-009 / Soundview Park- HP-009 CSO outfall,10/11/18 9:45,96,0,0,0,0,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.44,BR-0.44,BR-BxR-009 / Soundview Park- HP-009 CSO outfall,7/13/17 0:00,155,0,0,0,0,KNYTHEBR5,BxRA,Tidal,Main Stem,,,,,,,,,
Bronx,0.44,BR-0.44,BR-BxR-009 / Soundview Park- HP-009 CSO outfall,6/15/17 11:40,166,0,0.29,0,0,KNYC,BxRA,Tidal,Main Stem,,,,,,,,,
Bronx,0.44,BR-0.44,BR-BxR-009 / Soundview Park- HP-009 CSO outfall,9/13/18 9:40,454,0.12,0.18,0.22,1.79,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.44,BR-0.44,BR-BxR-009 / Soundview Park- HP-009 CSO outfall,7/19/18 9:00,5493,0,0,2.52,0,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,0.44,BR-0.44,BR-BxR-009 / Soundview Park- HP-009 CSO outfall,8/2/18 9:55,5504,0.01,0.13,0,0,KNYTHEBR5,CURB,Tidal,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,5/23/13 9:25,179,1.81,0,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,5/30/13 9:34,247,0,0,0.52,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/6/13 9:35,109,0.13,0,0,0.87,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/13/13 9:24,2333,1.26,0,0.09,1.38,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/20/13 6:42,3649,0,0.01,0.19,0.01,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/27/13 9:15,199,0.24,0.05,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/2/13 8:17,>24196,0.08,0.84,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/11/13 8:27,537,0,0,0.23,0.22,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/18/13 8:56,52,0,0,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/1/13 9:04,63,0.65,0,0,0.01,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/8/13 8:52,3130,0.46,0,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/15/13 7:56,1372,0,0,0.85,0.05,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/22/13 10:40,108,0.25,0,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
